change_v1,change_v2,change_w0,change_w1,query_v1,query_v2,query_time,neo4j_update_time,neo4j_project_time,neo4j_query_time,neo4j_drop_time
627,218039,70,27.801,603016,938427,1.5e-05,0.0900442968122661,0.0118163269944489,0.4538130289874971,0.0113038141280412
1422,104812,67,163.237,899839,1290123,4e-05,0.0967245488427579,0.0105375503189861,0.4440980767831206,0.0108420331962406
255128,280998,77,8.699,45697,851919,1.4e-05,0.0892510758712887,0.0104847401380538,0.428963653743267,0.011510401032865
150610,443269,38,144.223,200319,502933,2.8e-05,0.0929886973462998,0.0111813270486891,0.4509604787454009,0.0153920138254761
1656,138908,41,18.078,995542,567276,1.8e-05,0.0917457100003957,0.0144696850329637,0.4610692420974374,0.0117238080129027
678563,1282231,56,236.566,44583,352124,1.1e-05,0.0936379982158541,0.0105768730863928,0.4525432288646698,0.0152110243216156
234698,340487,8,2.389,690097,211137,6.7e-05,0.0928170480765402,0.0143872061744332,0.4349626307375729,0.0116472183726727
15457,57393,22,75.507,1049194,950650,1.6e-05,0.0932668168097734,0.0108709721826016,0.4736368251033127,0.01110658980906
86261,361576,99,45.533,626664,772914,7e-06,0.0946537158451974,0.0104969022795557,0.4519227873533964,0.0111425388604402
289486,365761,83,632.617,983890,1319859,3.1e-05,0.0906527880579233,0.0101274731568992,0.4627966051921248,0.0111431442201137
369969,430351,76,11.123,878364,502993,2.3e-05,0.0902822720818221,0.0104402219876647,0.4418387869372964,0.0119108189828693
446902,776043,99,855.238,1350117,409456,4e-05,0.0918045509606599,0.0102711552754044,0.4179134550504386,0.0109215192496776
130697,513895,6,1.005,1135458,22397,5e-05,0.0897826999425888,0.0100248479284346,0.4213633048348129,0.0111791430972516
534876,535174,80,694.449,545735,1141410,8e-06,0.0980470445938408,0.0099828317761421,0.422936060000211,0.0108654820360243
1227,3322,100,11.68,220798,927917,1.4e-05,0.0946165891364216,0.0156306726858019,0.4349533170461654,0.0122046312317252
174406,616670,78,585.232,1325760,49520,8e-06,0.098080868832767,0.0102064018137753,0.4170937617309391,0.0108603527769446
240159,240283,29,5.461,222019,827411,2.9e-05,0.0947934929281473,0.0099527300335466,0.4166712360456586,0.0109889558516442
1614,15263,20,163.479,831615,668714,8e-06,0.0900648990646004,0.0102127529680728,0.4286922621540725,0.0103867268189787
372883,718393,3,0.801,199750,32978,2e-05,0.0906415269710123,0.0097539955750107,0.4085698686540127,0.0105214873328804
161595,597474,88,593.848,298037,1261681,3.6e-05,0.0946383089758455,0.0100429090671241,0.4140559630468488,0.0103398081846535
263212,833620,84,24.505,1330035,553004,1e-05,0.0931782163679599,0.0095089371316134,0.4147381149232387,0.0105166942812502
1950,205851,48,442.968,162637,572269,6e-06,0.0936778206378221,0.010156970936805,0.4059948967769742,0.010312212165445
48830,302142,46,16.794,364424,207129,5.4e-05,0.0981299630366265,0.0147435297258198,0.4133878010325134,0.0173034314066171
592156,669132,59,558.246,515377,167771,3.5e-05,0.0916173360310494,0.0142609560862183,0.4136684141121804,0.0102490959689021
527813,1168631,61,20.674,44894,68191,1.5e-05,0.0898879179731011,0.0100567834451794,0.4326968779787421,0.0102757797576487
253227,641502,84,781.448,1374217,1201067,3.4e-05,0.0943673946894705,0.0092436713166534,0.4708633027039468,0.01026929076761
14556,26893,30,13.316,268179,666653,6e-06,0.0917353830300271,0.0091293780133128,0.4226140351966023,0.0128005831502377
1223,15484,15,108.157,120888,940039,3.5e-05,0.1426364798098802,0.0115617760457098,0.5634102756157517,0.0129477721638977
602109,844601,78,27.872,788002,588825,3.4e-05,0.1501814560033381,0.0121480268426239,0.5552814467810094,0.0141257899813354
725,42020,22,138.228,92615,168281,1.8e-05,0.1457598330453038,0.0166307371109724,0.5589070627465844,0.0134808509610593
638,10292,30,13.187,705012,621604,1.3e-05,0.1375714601017534,0.0183833460323512,0.614096490200609,0.0096723507158458
486488,623881,60,463.792,463814,297409,1.3e-05,0.0942041729576885,0.0089993169531226,0.4092067233286798,0.0097466199658811
281644,805895,86,25.84,977618,781831,3.2e-05,0.0927656493149697,0.0085189100354909,0.4137911130674183,0.0094577963463962
97617,139552,46,235.921,1264727,323978,3.6e-05,0.0913811651989817,0.0159870730713009,0.4169410052709281,0.0095612755976617
283867,768243,39,5.919,1247967,65010,1.3e-05,0.0946380319073796,0.0091441380791366,0.4209544979967177,0.0102385259233415
277863,1285691,2,4.462,504064,307259,1.5e-05,0.0901853190734982,0.0161481597460806,0.4144385778345167,0.010302001144737
