change_v1,change_v2,change_w0,change_w1,query_v1,query_v2,query_time,neo4j_update_time,neo4j_project_time,neo4j_query_time,neo4j_drop_time
292026,292027,54,18.247,143680,289068,0.000104,0.0243491330184042,0.0069103627465665,0.1375976949930191,0.0078219138085842
3716,48061,5,21.762,67425,173896,2.7e-05,0.023770879022777,0.0080816959962248,0.1399309569969773,0.0076983831822872
49359,49374,42,12.231,281070,153875,6.9e-05,0.0244050561450421,0.0066568488255143,0.1337486780248582,0.0075298510491847
232517,284004,44,91.531,258520,117540,6e-05,0.0243091038428246,0.0071444967761635,0.1345201791264116,0.0074142250232398
284219,284234,25,9.696,39771,38356,5.9e-05,0.0239339526742696,0.0065345549955964,0.1381284240633249,0.0074558518826961
218971,272127,88,256.316,99568,144360,7.1e-05,0.0235449611209332,0.0068346108309924,0.1341693261638283,0.0076121250167489
86365,228898,52,12.576,105148,306422,0.000156,0.0238206340000033,0.0072321761399507,0.1392002161592245,0.0082593718543648
17132,17144,61,269.085,212156,258286,7.4e-05,0.0250885030254721,0.0071571269072592,0.1391331800259649,0.0078044319525361
106900,106903,2,0.536,99155,75604,4.7e-05,0.0245466898195445,0.007032279856503,0.1400956776924431,0.0074072899296879
333257,333259,77,234.704,106502,112901,5.8e-05,0.0238670292310416,0.007053195964545,0.1317700687795877,0.007484832778573
246634,248324,35,7.013,233644,302781,8.5e-05,0.0242352467030286,0.0070449979975819,0.1325885262340307,0.0079302829690277
98181,99780,90,665.279,241322,117573,5.5e-05,0.0244585080072283,0.0064776027575135,0.1318764858879149,0.0072556538507342
146072,183527,33,7.369,21158,165927,9.9e-05,0.0237944712862372,0.0076626157388091,0.1410727151669562,0.0081287468783557
151296,155281,88,463.188,277009,283016,8.6e-05,0.0240979697555303,0.0064512528479099,0.1323478911072015,0.007252600044012
9583,145119,72,8.626,327744,300790,0.000126,0.0241093328222632,0.006448907777667,0.133046060334891,0.0076014660298824
80981,141626,100,741.438,284905,175640,6.4e-05,0.0242694136686623,0.006942356005311,0.1307406653650105,0.0074588921852409
281968,321951,6,2.795,308998,126849,0.00028,0.024711696896702,0.0066737034358084,0.1393069340847432,0.0084823439829051
